Days,Room
TuTh 12:30pm - 1:45pm,Minor Hall 125
Th 11:00am - 11:50am,New Cabell Hall 268
We 5:00pm - 5:50pm,New Cabell Hall 411
Tu 7:00pm - 7:50pm,New Cabell Hall 211
Tu 8:00pm - 8:50pm,New Cabell Hall 411
We 6:00pm - 6:50pm,New Cabell Hall 411
We 7:00pm - 7:50pm,Wilson Hall 244
Tu 6:00pm - 6:50pm,New Cabell Hall 411
Tu 5:00pm - 5:50pm,New Cabell Hall 411
We 4:00pm - 4:50pm,New Cabell Hall 187
Tu 7:00pm - 7:50pm,New Cabell Hall 411
Tu 2:00pm - 4:30pm,New Cabell Hall 415
We 2:00pm - 4:30pm,New Cabell Hall 291
TuTh 11:00am - 12:15pm,New Cabell Hall 066
MoWeFr 1:00pm - 1:50pm,New Cabell Hall 315
TuTh 11:00am - 12:15pm,New Cabell Hall 395
TuTh 3:30pm - 4:45pm,New Cabell Hall 364
Mo 2:00pm - 4:30pm,New Cabell Hall 338
TuTh 9:30am - 10:45am,New Cabell Hall 407
We 3:30pm - 6:00pm,New Cabell Hall 383
Tu 3:30pm - 6:00pm,Wilson Hall 214
TuTh 2:00pm - 3:15pm,New Cabell Hall 364
Th 2:00pm - 4:30pm,New Cabell Hall 415
TuTh 2:00pm - 3:15pm,New Cabell Hall 044
TBA,TBA
MoWe 2:00pm - 3:15pm,New Cabell Hall 411
TuTh 9:30am - 10:45am,Fayerweather Hall 215
TBA,TBA
Tu 3:30pm - 5:30pm,John W. Warner Hall 209
Tu 1:00pm - 1:50pm,Monroe Hall 130
We 1:00pm - 1:50pm,Astronomy Bldg 139
Tu 2:00pm - 2:50pm,Chemistry Bldg 206
We 2:00pm - 2:50pm,Astronomy Bldg 139
Tu 2:00pm - 3:00pm,Shannon House 107
Mo 12:30pm - 1:50pm,Shannon House 107
Tu 12:30pm - 3:00pm,Astronomy Bldg 139
We 3:30pm - 6:00pm,Astronomy Bldg 139
Fr 9:00am - 11:30am,Campbell Hall 108
We 1:00pm - 3:20pm,Campbell Hall 325
TuTh 12:30pm - 5:00pm,Campbell Hall 401
TuTh 12:30pm - 5:00pm,Campbell Hall 301
TuTh 12:30pm - 5:00pm,Campbell Hall 401
Mo 3:30pm - 6:00pm,Campbell Hall 220C
TBA,TBA
TBA,TBA
MoWe 2:00pm - 3:15pm,Mechanical Engr Bldg 339
MoWe 2:00pm - 3:15pm,Chemistry Bldg 206
MoWe 1:00pm - 1:50pm,John W. Warner Hall 209
We 5:00pm - 5:50pm,Bryan Hall 328
We 6:00pm - 6:50pm,Bryan Hall 235
We 6:00pm - 6:50pm,Bryan Hall 328
We 7:00pm - 7:50pm,Bryan Hall 235
We 7:00pm - 7:50pm,Bryan Hall 328
Th 5:00pm - 5:50pm,New Cabell Hall 415
Th 6:00pm - 6:50pm,New Cabell Hall 411
Th 7:00pm - 7:50pm,Bryan Hall 235
Th 8:00pm - 8:50pm,Bryan Hall 328
Fr 9:00am - 9:50am,Bryan Hall 328
Fr 10:00am - 10:50am,Bryan Hall 235
Fr 2:00pm - 2:50pm,Bryan Hall 328
MoWe 3:30pm - 4:45pm,New Cabell Hall 411
TuTh 9:30am - 10:45am,Bryan Hall 235
TuTh 2:00pm - 3:15pm,New Cabell Hall 187
MoWe 2:00pm - 2:50pm,McLeod Hall 1003
Fr 10:00am - 10:50am,Ridley Hall 139
Fr 11:00am - 11:50am,John W. Warner Hall 110
Fr 12:00pm - 12:50pm,New Cabell Hall 058
Mo 2:00pm - 4:30pm,New Cabell Hall 323
TuTh 11:00am - 12:15pm,Wilson Hall 214
Tu 3:30pm - 6:00pm,New Cabell Hall 338
TuTh 9:30am - 10:45am,New Cabell Hall 489
TuTh 2:00pm - 3:15pm,New Cabell Hall 395
TuTh 11:00am - 12:15pm,John W. Warner Hall 113
Mo 3:30pm - 6:00pm,New Cabell Hall 187
TuTh 3:30pm - 4:45pm,New Cabell Hall 207
TuTh 12:30pm - 1:45pm,New Cabell Hall 309
TuTh 12:30pm - 1:45pm,Bryan Hall 235
TuTh 11:00am - 12:15pm,The Rotunda Room 152
Tu 5:00pm - 7:30pm,Bryan Hall 310
TuTh 2:00pm - 3:15pm,Wilson Hall 244
We 3:30pm - 6:00pm,Bryan Hall 235
We 3:30pm - 6:00pm,New Cabell Hall 064
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
Mo 3:30pm - 6:00pm,Bryan Hall 203
TuTh 11:00am - 12:15pm,Clemons Library 320
TuTh 3:30pm - 4:45pm,John W. Warner Hall 110
TuTh 3:30pm - 4:45pm,Monroe Hall 111
MoWe 11:00am - 11:50am,Wilson Hall 301
Fr 10:00am - 10:50am,The Rotunda Room 152
Fr 11:00am - 11:50am,New Cabell Hall 283
Fr 12:00pm - 12:50pm,New Cabell Hall 415
Th 4:00pm - 4:50pm,New Cabell Hall 309
We 5:00pm - 5:50pm,Monroe Hall 111
We 12:00pm - 12:50pm,New Cabell Hall 207
We 5:00pm - 7:30pm,Shannon House 107
TuTh 12:30pm - 1:20pm,John W. Warner Hall 104
Th 4:00pm - 4:50pm,Kerchof Hall 317
Th 5:00pm - 5:50pm,Kerchof Hall 317
Fr 12:00pm - 12:50pm,The Rotunda Room 152
MoWe 9:00am - 9:50am,John W. Warner Hall 104
We 12:00pm - 12:50pm,New Cabell Hall 415
We 1:00pm - 1:50pm,New Cabell Hall 411
Fr 9:00am - 9:50am,The Rotunda Room 150
TuTh 11:00am - 12:15pm,John W. Warner Hall 104
TuTh 9:30am - 10:45am,New Cabell Hall 338
TuTh 12:30pm - 1:45pm,New Cabell Hall 338
MoWe 2:00pm - 3:15pm,New Cabell Hall 383
MoWe 3:30pm - 4:45pm,New Cabell Hall 132
MoWe 12:00pm - 12:50pm,John W. Warner Hall 104
Fr 12:00pm - 12:50pm,The Rotunda Room 150
We 1:00pm - 1:50pm,Brooks Hall 103
Th 9:30am - 10:20am,The Rotunda Room 150
TuTh 4:00pm - 5:15pm,New Cabell Hall 315
TuTh 9:30am - 10:45am,New Cabell Hall 395
MoWeFr 11:00am - 11:50am,Bryan Hall 235
MoWe 10:00am - 10:50am,Monroe Hall 110
Fr 9:00am - 9:50am,The Rotunda Room 152
Fr 10:00am - 10:50am,Brooks Hall 103
Fr 4:00pm - 4:50pm,Brooks Hall 103
MoWe 4:00pm - 4:50pm,John W. Warner Hall 104
Th 9:30am - 10:20am,Nau Hall 241
Th 4:00pm - 4:50pm,Monroe Hall 114
Fr 12:00pm - 12:50pm,New Cabell Hall 207
Mo 2:00pm - 4:30pm,New Cabell Hall 323
We 3:30pm - 6:00pm,Dell 1 105
MoWeFr 11:00am - 11:50am,New Cabell Hall 309
TuTh 12:30pm - 1:45pm,Claude Moore Nursing Educ G120
TuTh 2:00pm - 3:15pm,New Cabell Hall 032
WeFr 10:00am - 10:50am,John W. Warner Hall 115
Mo 10:00am - 10:50am,Brooks Hall 103
Mo 12:00pm - 12:50pm,The Rotunda Room 152
Tu 3:30pm - 4:20pm,Brooks Hall 103
TuTh 2:00pm - 3:15pm,New Cabell Hall 485
TuTh 3:30pm - 4:45pm,New Cabell Hall 489
TuTh 3:30pm - 4:45pm,New Cabell Hall 323
TuTh 11:00am - 12:15pm,The Rotunda Room 150
MoWe 3:30pm - 4:45pm,New Cabell Hall 594
We 3:30pm - 6:00pm,New Cabell Hall 415
Tu 3:30pm - 6:00pm,The Rotunda Room 150
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
Mo 4:00pm - 6:30pm,New Cabell Hall 111
We 5:00pm - 7:30pm,Brooks Hall 103
MoWe 3:30pm - 4:45pm,The Rotunda Room 150
Tu 5:00pm - 7:30pm,Wilson Hall 238
Th 3:30pm - 6:00pm,Brooks Hall 103
Mo 5:00pm - 7:30pm,New Cabell Hall 411
TuTh 12:30pm - 1:45pm,The Rotunda Room 150
Th 5:00pm - 7:30pm,The Rotunda Room 150
MoWe 2:00pm - 3:15pm,New Cabell Hall 407
